contains_dock,city,url,address,bedrooms,bathrooms,sqft,listing_price,cash_down_payment,loan_type,rate,remaining_balance,home_total
False,Gainesville,https://www.withroam.com/listing/5354-SHADOW-WALK-WAY-GAINESVILLE-GA-30507/124938,"5354 Shadow Walk Way, Gainesville, GA 30507",4,4,3112,"$539,000","$158,282",,2.75%,"$380,717","$2,581"
False,Gainesville,https://www.withroam.com/listing/3875-VALLEY-VIEW-CT-GAINESVILLE-GA-30501/113953,"3875 Valley View Ct, Gainesville, GA 30501",3,3,1506,"$310,000","$130,156",,2.8%,"$179,843","$1,530"
False,Flowery Branch,https://www.withroam.com/listing/6004-SCREECH-OWL-DR-FLOWERY-BRANCH-GA-30542/85887,"6004 Screech Owl Dr, Flowery Branch, GA 30542",5,3,2430,"$419,900","$75,998",,3.89%,"$343,901","$2,642"
False,Gainesville,https://www.withroam.com/listing/13-HILLTOP-ST-GAINESVILLE-GA-30501/271283,"13 Hilltop St, Gainesville, GA 30501",3,2,1444,"$295,000","$153,251",,3.37%,"$141,748","$1,230"
False,Oakwood,https://www.withroam.com/listing/5415-HICKORY-PL-OAKWOOD-GA-30566/279001,"5415 Hickory Pl, Oakwood, GA 30566",3,2,1180,"$319,900","$211,783",,3.25%,"$108,116","$1,135"
False,Gainesville,https://www.withroam.com/listing/3619-TRADITION-DR-GAINESVILLE-GA-30506/268074,"3619 Tradition Dr, Gainesville, GA 30506",4,4,3308,"$550,000","$333,551",,2.75%,"$216,448","$1,773"
False,Gainesville,https://www.withroam.com/listing/5037-ELROD-PL-GAINESVILLE-GA-30506/196151,"5037 Elrod Pl, Gainesville, GA 30506",3,2,1282,"$317,000","$103,288",,3%,"$213,711","$1,599"
False,Gainesville,https://www.withroam.com/listing/652-WILSHIRE-PL-GAINESVILLE-GA-30501/237944,"652 Wilshire Pl, Gainesville, GA 30501",4,2,1602,"$354,900","$128,934",,2.88%,"$225,965","$1,697"
False,Gainesville,https://www.withroam.com/listing/3874-AMBERLEIGH-TRCE-GAINESVILLE-GA-30507/167396,"3874 Amberleigh Trce, Gainesville, GA 30507",7,4,4934,"$475,999","$152,997",,3.22%,"$323,001","$2,470"
True,Gainesville,https://www.withroam.com/listing/4951-LETHA-DR-GAINESVILLE-GA-30506/267354,"4951 Letha Dr, Gainesville, GA 30506",4,3,2753,"$1,200,000","$724,289",,2.875%,"$475,710","$3,915"
False,Flowery Branch,https://www.withroam.com/listing/6409-EVA-RD-FLOWERY-BRANCH-GA-30542/16461,"6409 Eva Rd, Flowery Branch, GA 30542",2,3,1800,"$674,900","$176,312",,3.83%,"$498,587","$4,141"
False,Gainesville,https://www.withroam.com/listing/2744-SAWYER-MILL-DR-GAINESVILLE-GA-30507/274811,"2744 Sawyer Mill Dr, Gainesville, GA 30507",4,3,1875,"$330,000","$186,600",,4.25%,"$143,399","$1,431"
False,Gainesville,https://www.withroam.com/listing/2093-BEVERLY-RD-GAINESVILLE-GA-30501/205720,"2093 Beverly Rd, Gainesville, GA 30501",3,2,1550,"$339,900","$147,503",,2.75%,"$192,396","$1,364"
False,Gainesville,https://www.withroam.com/listing/3457-SILVER-CHASE-CT-GAINESVILLE-GA-30507/278406,"3457 Silver Chase Ct, Gainesville, GA 30507",3,2,1534,"$340,000","$214,001",,4.25%,"$125,998","$1,308"
True,Gainesville,https://www.withroam.com/listing/4777-DESTITUTE-WAY-GAINESVILLE-GA-30506/118379,"4777 Destitute Way, Gainesville, GA 30506",4,5,5713,"$1,575,000","$671,415",,4.81%,"$903,584","$8,473"
False,Gainesville,https://www.withroam.com/listing/617-MOUNTAIN-VIEW-CIR-GAINESVILLE-GA-30501/164880,"617 Mountain View Cir, Gainesville, GA 30501",4,2,3188,"$360,000","$30,584",,5.5%,"$329,415","$2,701"
False,Gainesville,https://www.withroam.com/listing/3114-HERITAGE-GLEN-DR-GAINESVILLE-GA-30507/247965,"3114 Heritage Glen Dr, Gainesville, GA 30507",4,3,2934,"$370,000","$184,907",,2.75%,"$185,092","$1,383"
False,Oakwood,https://www.withroam.com/listing/3732-ACORN-DR-OAKWOOD-GA-30566/228515,"3732 Acorn Dr, Oakwood, GA 30566",3,3,1400,"$300,000","$142,660",,2.98%,"$157,339","$1,350"
False,Gainesville,https://www.withroam.com/listing/7280-PLUM-CREEK-DR-GAINESVILLE-GA-30507/230783,"7280 Plum Creek Dr, Gainesville, GA 30507",4,3,1694,"$359,900","$190,318",,2.625%,"$169,581","$1,264"
False,Gainesville,https://www.withroam.com/listing/5209-BYERS-RD-GAINESVILLE-GA-30504/268671,"5209 Byers Rd, Gainesville, GA 30504",4,2,1813,"$435,000","$287,259",,3.83%,"$147,740","$1,558"
False,Gainesville,https://www.withroam.com/listing/105-BENNETT-DR-GAINESVILLE-GA-30501/263571,"105 Bennett Dr, Gainesville, GA 30501",3,1,1210,"$212,000","$134,544",,3.2%,"$77,455",$736
False,Gainesville,https://www.withroam.com/listing/8240-GRACEN-DR-GAINESVILLE-GA-30506/152408,"8240 Gracen Dr, Gainesville, GA 30506",5,5,3789,"$982,000","$783,476",,3.54%,"$198,523","$1,821"
False,Oakwood,https://www.withroam.com/listing/5017-VALLEY-ST-OAKWOOD-GA-30566/166231,"5017 Valley St, Oakwood, GA 30566",4,2,1957,"$350,000","$136,915",,4.16%,"$213,084","$1,754"
False,Braselton,https://www.withroam.com/listing/1036-REGENCY-PARK-DR-BRASELTON-GA-30517/200394,"1036 Regency Park Dr, Braselton, GA 30517",5,3,2916,"$450,000","$109,076",,5.3%,"$340,923","$2,861"
True,Gainesville,https://www.withroam.com/listing/4075-FINCHER-DR-GAINESVILLE-GA-30504/245023,"4075 Fincher Dr, Gainesville, GA 30504",3,2,3031,"$805,000","$494,851",,2.625%,"$310,148","$2,538"
False,Gainesville,https://www.withroam.com/listing/4513-BANSHIRE-CIR-GAINESVILLE-GA-30504/205267,"4513 Banshire Cir, Gainesville, GA 30504",4,3,2707,"$439,900","$126,292",,5.1%,"$313,607","$2,694"
False,Flowery Branch,https://www.withroam.com/listing/4225-DUNHAM-PARK-FLOWERY-BRANCH-GA-30542/145793,"4225 Dunham Park, Flowery Branch, GA 30542",5,5,6110,"$845,000","$524,718",,2.875%,"$320,281","$2,690"
False,Gainesville,https://www.withroam.com/listing/3208-NAVAJO-CIR-GAINESVILLE-GA-30501/265660,"3208 Navajo Cir, Gainesville, GA 30501",3,2,1338,"$340,000","$294,837",,3.32%,"$45,162",$808
True,Gainesville,https://www.withroam.com/listing/5390-WHIPORWILL-DR-GAINESVILLE-GA-30504/93787,"5390 Whiporwill Dr, Gainesville, GA 30504",4,4,2561,"$1,169,000","$519,245",,4.875%,"$649,754","$5,267"
False,Gainesville,https://www.withroam.com/listing/3107-LOTHERIDGE-RD-0-GAINESVILLE-GA-30501/177437,"3107 Lotheridge Rd # 0, Gainesville, GA 30501",3,2,1657,"$469,900","$289,646",,3.68%,"$180,253","$1,736"
False,Gainesville,https://www.withroam.com/listing/2140-PINE-TREE-CIR-GAINESVILLE-GA-30501/232420,"2140 Pine Tree Cir, Gainesville, GA 30501",3,2,1689,"$325,000","$214,213",,3.5%,"$110,786","$1,208"
False,Flowery Branch,https://www.withroam.com/listing/6084-LIGHTS-FERRY-RD-FLOWERY-BRANCH-GA-30542/237205,"6084 Lights Ferry Rd, Flowery Branch, GA 30542",2,1,1104,"$359,900","$133,020",,5.75%,"$226,879","$2,048"
False,Gainesville,https://www.withroam.com/listing/5059-WHISPERING-PINES-DR-GAINESVILLE-GA-30504/206061,"5059 Whispering Pines Dr, Gainesville, GA 30504",3,2,1650,"$350,000","$178,849",,4.75%,"$171,150","$1,484"
False,Braselton,https://www.withroam.com/listing/1277-OVERLAND-PARK-DR-BRASELTON-GA-30517/230738,"1277 Overland Park Dr, Braselton, GA 30517",4,2,2420,"$400,000","$227,720",,4.47%,"$172,279","$1,771"
False,Gainesville,https://www.withroam.com/listing/2610-LITTLE-RIVER-PARK-RD-GAINESVILLE-GA-30506/178929,"2610 Little River Park Rd, Gainesville, GA 30506",3,2,1411,"$385,000","$297,838",,3.5%,"$87,161","$1,174"
